StudentID, TotalNumberOfSemestersRegistered, Semester, NumCoursesTakenInTheSemester
0001,14,1,9
0001,14,2,8
0001,14,3,8
0001,14,4,1
0001,14,5,8
0001,14,6,7
0001,14,7,1
0001,14,8,8
0001,14,9,6
0001,14,10,1
0001,14,11,4
0001,14,12,3
0001,14,13,1
0001,14,14,1
0002,10,1,10
0002,10,2,9
0002,10,3,1
0002,10,4,9
0002,10,5,8
0002,10,6,8
0002,10,7,9
0002,10,8,7
0002,10,9,3
0002,10,10,2
0003,11,1,11
0003,11,2,11
0003,11,3,10
0003,11,4,9
0003,11,5,9
0003,11,6,10
0003,11,7,7
0003,11,8,8
0003,11,9,1
0003,11,10,2
0003,11,11,2
0004,17,1,11
0004,17,2,8
0004,17,3,9
0004,17,4,8
0004,17,5,1
0004,17,6,9
0004,17,7,1
0004,17,8,8
0004,17,9,8
0004,17,10,1
0004,17,11,7
0004,17,12,8
0004,17,13,1
0004,17,14,1
0004,17,15,10
0004,17,16,1
0004,17,17,7
0005,8,1,10
0005,8,2,9
0005,8,3,9
0005,8,4,8
0005,8,5,1
0005,8,6,8
0005,8,7,8
0005,8,8,8
0006,10,1,11
0006,10,2,11
0006,10,3,10
0006,10,4,9
0006,10,5,1
0006,10,6,9
0006,10,7,8
0006,10,8,10
0006,10,9,7
0006,10,10,2
0007,14,1,9
0007,14,2,9
0007,14,3,1
0007,14,4,8
0007,14,5,11
0007,14,6,8
0007,14,7,8
0007,14,8,1
0007,14,9,1
0007,14,10,6
0007,14,11,6
0007,14,12,1
0007,14,13,7
0007,14,14,3
0008,12,1,8
0008,12,2,9
0008,12,3,1
0008,12,4,1
0008,12,5,8
0008,12,6,8
0008,12,7,9
0008,12,8,8
0008,12,9,1
0008,12,10,8
0008,12,11,3
0008,12,12,1
0009,13,1,11
0009,13,2,8
0009,13,3,8
0009,13,4,9
0009,13,5,1
0009,13,6,8
0009,13,7,1
0009,13,8,7
0009,13,9,8
0009,13,10,2
0009,13,11,7
0009,13,12,3
0009,13,13,1
0010,11,1,11
0010,11,2,9
0010,11,3,8
0010,11,4,9
0010,11,5,1
0010,11,6,1
0010,11,7,9
0010,11,8,8
0010,11,9,1
0010,11,10,1
0010,11,11,6
0011,12,1,9
0011,12,2,9
0011,12,3,9
0011,12,4,8
0011,12,5,1
0011,12,6,8
0011,12,7,8
0011,12,8,2
0011,12,9,2
0011,12,10,6
0011,12,11,5
0011,12,12,1
0012,10,1,11
0012,10,2,9
0012,10,3,1
0012,10,4,10
0012,10,5,8
0012,10,6,9
0012,10,7,8
0012,10,8,7
0012,10,9,3
0012,10,10,1
0013,10,1,10
0013,10,2,10
0013,10,3,9
0013,10,4,8
0013,10,5,8
0013,10,6,9
0013,10,7,1
0013,10,8,9
0013,10,9,5
0013,10,10,1
0014,12,1,10
0014,12,2,9
0014,12,3,1
0014,12,4,9
0014,12,5,9
0014,12,6,2
0014,12,7,8
0014,12,8,7
0014,12,9,1
0014,12,10,9
0014,12,11,2
0014,12,12,6
0015,11,1,9
0015,11,2,10
0015,11,3,1
0015,11,4,9
0015,11,5,9
0015,11,6,9
0015,11,7,9
0015,11,8,1
0015,11,9,6
0015,11,10,4
0015,11,11,1
0016,11,1,9
0016,11,2,10
0016,11,3,9
0016,11,4,9
0016,11,5,1
0016,11,6,9
0016,11,7,10
0016,11,8,1
0016,11,9,2
0016,11,10,6
0016,11,11,2
0017,10,1,12
0017,10,2,12
0017,10,3,9
0017,10,4,8
0017,10,5,2
0017,10,6,8
0017,10,7,9
0017,10,8,8
0017,10,9,1
0017,10,10,2
0018,5,1,8
0018,5,2,9
0018,5,3,6
0018,5,4,7
0018,5,5,6
0019,12,1,12
0019,12,2,11
0019,12,3,1
0019,12,4,8
0019,12,5,9
0019,12,6,1
0019,12,7,6
0019,12,8,1
0019,12,9,8
0019,12,10,8
0019,12,11,4
0019,12,12,3
0020,10,1,11
0020,10,2,9
0020,10,3,2
0020,10,4,11
0020,10,5,11
0020,10,6,10
0020,10,7,8
0020,10,8,9
0020,10,9,5
0020,10,10,1
0021,11,1,10
0021,11,2,10
0021,11,3,9
0021,11,4,9
0021,11,5,9
0021,11,6,9
0021,11,7,7
0021,11,8,4
0021,11,9,3
0021,11,10,1
0021,11,11,1
0022,14,1,11
0022,14,2,11
0022,14,3,1
0022,14,4,8
0022,14,5,1
0022,14,6,10
0022,14,7,8
0022,14,8,8
0022,14,9,7
0022,14,10,1
0022,14,11,6
0022,14,12,5
0022,14,13,2
0022,14,14,6
0023,16,1,11
0023,16,2,9
0023,16,3,1
0023,16,4,9
0023,16,5,8
0023,16,6,8
0023,16,7,2
0023,16,8,8
0023,16,9,8
0023,16,10,1
0023,16,11,1
0023,16,12,7
0023,16,13,5
0023,16,14,2
0023,16,15,1
0023,16,16,1
0024,14,1,9
0024,14,2,8
0024,14,3,11
0024,14,4,11
0024,14,5,1
0024,14,6,1
0024,14,7,10
0024,14,8,10
0024,14,9,10
0024,14,10,8
0024,14,11,5
0024,14,12,1
0024,14,13,3
0024,14,14,2
0025,10,1,11
0025,10,2,11
0025,10,3,10
0025,10,4,9
0025,10,5,9
0025,10,6,9
0025,10,7,7
0025,10,8,8
0025,10,9,1
0025,10,10,3
0026,11,1,9
0026,11,2,10
0026,11,3,1
0026,11,4,9
0026,11,5,9
0026,11,6,9
0026,11,7,1
0026,11,8,1
0026,11,9,8
0026,11,10,7
0026,11,11,3
0027,12,1,9
0027,12,2,9
0027,12,3,9
0027,12,4,9
0027,12,5,2
0027,12,6,8
0027,12,7,6
0027,12,8,8
0027,12,9,1
0027,12,10,7
0027,12,11,1
0027,12,12,1
0028,11,1,12
0028,11,2,12
0028,11,3,1
0028,11,4,10
0028,11,5,7
0028,11,6,8
0028,11,7,7
0028,11,8,6
0028,11,9,6
0028,11,10,2
0028,11,11,1
0029,12,1,9
0029,12,2,10
0029,12,3,9
0029,12,4,12
0029,12,5,1
0029,12,6,9
0029,12,7,8
0029,12,8,1
0029,12,9,6
0029,12,10,6
0029,12,11,3
0029,12,12,2
0030,10,1,10
0030,10,2,8
0030,10,3,9
0030,10,4,9
0030,10,5,9
0030,10,6,8
0030,10,7,1
0030,10,8,6
0030,10,9,6
0030,10,10,1
0031,9,1,9
0031,9,2,10
0031,9,3,10
0031,9,4,8
0031,9,5,1
0031,9,6,8
0031,9,7,8
0031,9,8,6
0031,9,9,6
0032,13,1,9
0032,13,2,8
0032,13,3,1
0032,13,4,8
0032,13,5,8
0032,13,6,2
0032,13,7,2
0032,13,8,8
0032,13,9,8
0032,13,10,6
0032,13,11,4
0032,13,12,3
0032,13,13,1
0033,11,1,11
0033,11,2,10
0033,11,3,10
0033,11,4,11
0033,11,5,10
0033,11,6,9
0033,11,7,7
0033,11,8,6
0033,11,9,7
0033,11,10,2
0033,11,11,1
0034,18,1,11
0034,18,2,9
0034,18,3,1
0034,18,4,9
0034,18,5,8
0034,18,6,1
0034,18,7,7
0034,18,8,8
0034,18,9,2
0034,18,10,1
0034,18,11,8
0034,18,12,1
0034,18,13,6
0034,18,14,5
0034,18,15,1
0034,18,16,1
0034,18,17,1
0034,18,18,1
0035,13,1,11
0035,13,2,11
0035,13,3,9
0035,13,4,11
0035,13,5,9
0035,13,6,1
0035,13,7,2
0035,13,8,9
0035,13,9,9
0035,13,10,7
0035,13,11,7
0035,13,12,2
0035,13,13,1
0036,10,1,10
0036,10,2,8
0036,10,3,9
0036,10,4,8
0036,10,5,8
0036,10,6,8
0036,10,7,1
0036,10,8,8
0036,10,9,3
0036,10,10,3
0037,11,1,10
0037,11,2,9
0037,11,3,9
0037,11,4,10
0037,11,5,1
0037,11,6,9
0037,11,7,8
0037,11,8,4
0037,11,9,1
0037,11,10,3
0037,11,11,1
0038,11,1,10
0038,11,2,8
0038,11,3,2
0038,11,4,8
0038,11,5,8
0038,11,6,8
0038,11,7,1
0038,11,8,8
0038,11,9,6
0038,11,10,1
0038,11,11,1
0039,12,1,10
0039,12,2,11
0039,12,3,1
0039,12,4,9
0039,12,5,9
0039,12,6,7
0039,12,7,8
0039,12,8,7
0039,12,9,8
0039,12,10,1
0039,12,11,8
0039,12,12,1
0040,15,1,9
0040,15,2,10
0040,15,3,9
0040,15,4,1
0040,15,5,1
0040,15,6,12
0040,15,7,9
0040,15,8,1
0040,15,9,1
0040,15,10,9
0040,15,11,10
0040,15,12,2
0040,15,13,7
0040,15,14,1
0040,15,15,1
0041,13,1,9
0041,13,2,9
0041,13,3,9
0041,13,4,1
0041,13,5,8
0041,13,6,9
0041,13,7,1
0041,13,8,8
0041,13,9,5
0041,13,10,1
0041,13,11,3
0041,13,12,1
0041,13,13,1
0042,10,1,9
0042,10,2,10
